Invoice_ID,Month,Service_Type,Department,Usage_Hours,Cost_USD
INV-001,January,Compute,Traffic Management,720,1440.00
INV-002,January,Storage,Public Safety,500,75.00
INV-003,January,Networking,Smart Lighting,300,180.00
INV-004,January,Database,Waste Management,200,300.00
INV-005,January,AI/ML Services,Traffic Management,100,850.00
INV-006,February,Compute,Traffic Management,750,1500.00
INV-007,February,Storage,Public Safety,520,78.00
INV-008,February,Networking,Smart Lighting,310,186.00
INV-009,February,Database,Water Supply,210,315.00
INV-010,February,AI/ML Services,Traffic Management,120,1020.00
INV-011,March,Compute,Public Safety,800,1600.00
INV-012,March,Storage,Waste Management,600,90.00
INV-013,March,Networking,Water Supply,350,210.00
INV-014,March,Database,Traffic Management,230,345.00
INV-015,March,AI/ML Services,Smart Lighting,90,765.00
INV-016,April,Compute,Water Supply,780,1560.00
INV-017,April,Storage,Traffic Management,480,72.00
INV-018,April,Networking,Public Safety,320,192.00
INV-019,April,Database,Smart Lighting,215,322.50
INV-020,April,AI/ML Services,Waste Management,110,935.00
INV-021,May,Compute,Smart Lighting,810,1620.00
INV-022,May,Storage,Water Supply,550,82.50
INV-023,May,Networking,Traffic Management,330,198.00
INV-024,May,Database,Public Safety,245,367.50
INV-025,May,AI/ML Services,Water Supply,130,1105.00
INV-026,June,Compute,Waste Management,850,1700.00
INV-027,June,Storage,Traffic Management,610,91.50
INV-028,June,Networking,Waste Management,340,204.00
INV-029,June,Database,Smart Lighting,260,390.00
INV-030,June,AI/ML Services,Public Safety,140,1190.00
INV-031,July,Compute,Traffic Management,880,1760.00
INV-032,July,Storage,Smart Lighting,630,94.50
INV-033,July,Networking,Public Safety,360,216.00
INV-034,July,Database,Water Supply,270,405.00
INV-035,July,AI/ML Services,Traffic Management,155,1317.50
INV-036,August,Compute,Public Safety,910,1820.00
INV-037,August,Storage,Waste Management,650,97.50
INV-038,August,Networking,Traffic Management,375,225.00
INV-039,August,Database,Smart Lighting,280,420.00
INV-040,August,AI/ML Services,Water Supply,160,1360.00
INV-041,September,Compute,Water Supply,870,1740.00
INV-042,September,Storage,Traffic Management,620,93.00
INV-043,September,Networking,Waste Management,355,213.00
INV-044,September,Database,Public Safety,265,397.50
INV-045,September,AI/ML Services,Smart Lighting,145,1232.50
INV-046,October,Compute,Smart Lighting,840,1680.00
INV-047,October,Storage,Water Supply,590,88.50
INV-048,October,Networking,Smart Lighting,345,207.00
INV-049,October,Database,Traffic Management,255,382.50
INV-050,October,AI/ML Services,Waste Management,150,1275.00
INV-051,November,Compute,Waste Management,800,1600.00
INV-052,November,Storage,Public Safety,560,84.00
INV-053,November,Networking,Water Supply,330,198.00
INV-054,November,Database,Waste Management,240,360.00
INV-055,November,AI/ML Services,Traffic Management,135,1147.50
INV-056,December,Compute,Traffic Management,950,1900.00
INV-057,December,Storage,Smart Lighting,700,105.00
INV-058,December,Networking,Traffic Management,400,240.00
INV-059,December,Database,Public Safety,300,450.00
INV-060,December,AI/ML Services,Public Safety,180,1530.00
